TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
GATA1,62,1863,0.09779179810725552,0.08946837631465207,0.008323421792603453,0.25387271136882705,-1.2030245385707339,1.6492531359960445,GNGT2;SLC3A1;CXXC5;CALML4;GSTA3;CTTNBP2NL;KLRA17;CD3E;ACE;CIDEB;GPR174;LRRN3;CD59A;PPIC;PLS3;1700061J05RIK;TNIK;ADAMTS6;SYTL4;KCNK13;CCL17;EPAS1;CAPSL;CRISP1;FCGR4;CDS1;MAPK13;LOX;4930506M07RIK;LPL;SMO;2010002M12RIK;ENO3;SUCNR1;SPARC;MECOM;SERPINF1;SERPINB8;IGJ;SMOC1;ICK;PRKG1;SCD1;ZBTB46;PPARG;PRG3;LY6D;MLLT3;RAB38;ITGAX;IGFBP5;HNF4A;SYNE2;P2RY10;SPON1;COL1A2;ALDH1A2;MYL10;B9D1;PPP1R16B;ITK;WBSCR27
IKZF1,57,1674,0.08990536277602523,0.08039187436968737,0.009513488406337867,0.21188839522743497,-0.7853426627987822,1.218612739069274,CYP1B1;CES1D;BAIAP3;FN3K;CXXC5;LYPD6B;SLC41A2;CTTNBP2NL;CD72;AK1;SULF2;1700061J05RIK;IL1RN;AF251705;CCL17;RRAS;GPR56;MRC1;XCL1;RAPGEF3;PDGFRB;HOXA10;HOXA9;TNFRSF19;TOX2;CEACAM10;INHBA;SERPINB8;IL17RB;ABCA4;CXCL14;1600029D21RIK;C1QC;OLFM4;ZBTB46;PPARG;H2-EB1;GIMAP3;GIMAP7;GBP6;HNF4A;MARCKS;KCNE3;GFRA2;FGR;GPR137B;ARMC9;TRIM9;SIGLECE;VPREB1;EDNRA;TLR3;0610012H03RIK;PAQR5;PPP1R16B;SBF2;1810048J11RIK
ARNT,6,139,0.00946372239747634,0.006675310954233299,0.0027884114432430414,0.2585138248534822,-0.7915106530740634,1.0707604439722902,MYL10;FXYD4;RPH3AL;RPS4Y2;MORC4;PDE2A
RBPJ,58,1735,0.0914826498422713,0.08332132737837968,0.008161322463891618,0.25159909613890435,-0.660115776951918,0.9109058715059601,CYP1B1;BAIAP3;AUTS2;SLC45A3;BBX;CD3E;GPR155;GJA1;MSRB3;BLK;CAMK1D;ENDOU;C230081A13RIK;PLS3;CDC42EP2;IL1RN;G0S2;GNG11;MRC1;DOCK4;GPR35;CAPSL;AHI1;RAPGEF3;SLC16A12;APCDD1;SLC30A4;HOXB3;PLVAP;TNFRSF19;CXCL12;1600029D21RIK;SLC35D3;GDF3;C1QB;ZBTB46;KLF3;AGPAT9;GM8369;ETV1;ASB2;DST;FXYD4;LIN28A;GSPT2;IGFBP5;ORM1;JAG1;PDE5A;HIVEP2;BBS1;FBN1;ZFP462;NAV1;SLAMF7;6430548M08RIK;MYL10;PPP1R16B
LEF1,58,1730,0.0914826498422713,0.08308120827930654,0.008401441562964754,0.24468216136487017,-0.6024045667936091,0.8480622643441681,TREML4;FOXC1;MTMR7;MPZL1;IL18;IL1B;SDC3;GPR126;BBX;CD40;IKZF2;TRIM36;BLK;AK1;CD8A;TRIB2;BC030307;1700061J05RIK;1700019D03RIK;PERP;PURA;S1PR5;HOXC6;SLC30A4;LPL;MYLK;ARHGAP6;CYP11A1;INHBA;PDK4;P2RY6;FSCN1;P2RX1;EBF1;PCDH7;DYNC2LI1;BLNK;ZBTB46;AGPAT3;MLLT4;LY6I;D0H4S114;MS4A1;PRKCA;PROS1;SLC18A2;MPL;P2RY10;EID2;FGR;RLTPR;CSRP3;FAR2;TFPI2;RTKN2;ITK;EVL;KCNQ3
SOX5,25,728,0.03943217665615142,0.034961340825049224,0.004470835831102193,0.3025192003021372,-0.6866989937610726,0.8210245488784541,KLRD1;CD200;CSF1;FPR2;CTLA2B;CMAH;IGJ;SERPINB6B;SDC4;CAPSL;VPREB3;CD209A;KLRA17;OLFM4;AKAP12;TMCC1;APCDD1;RPH3AL;GMPR;TEX15;CD300LD;ITGAX;GPATCH2;ARHGAP6;CAMK1D
TFAP2A,56,1663,0.08832807570977919,0.07986361235172645,0.008464463358052732,0.23910118309090467,-0.5101043061488777,0.7298921611571765,RBPMS2;THY1;GNGT2;TREML4;NUAK1;SPIB;SLC3A1;MYO1E;H2-Q7;SDC3;HIF3A;SCN4B;CCR7;PIH1D2;MORC4;AK1;CD8A;PDCD1;CD83;NEFH;IL2RB;GPR114;TNIK;BCL2L11;LAG3;GPR68;CCL22;GPR56;TNFRSF13C;RHOJ;FLT3;S100A5;PDLIM4;CDS1;2210010C04RIK;HOXC6;ENO3;SUCNR1;IGLL1;MECOM;KLK8;FARP1;ZBTB46;GM8369;ITGAE;RASSF8;ZDHHC2;KCNE3;PDE2A;GFRA2;COL1A1;FGR;GPR137B;ALDH1A2;SLAMF8;MYL10
NR5A1,35,1020,0.055205047318611984,0.04898429621092062,0.006220751107691366,0.26218182326220507,-0.5312331082087661,0.711170810982951,IGLL1;OLFML2B;SERPINF1;NUAK1;ALOX15;FBXO10;CCL6;NR4A1;H2-Q7;FAAH;GABBR1;SKAP1;GSTA3;GDF3;CD3G;CD3D;C1QB;ABCB1A;CD72;SLC11A1;CIDEB;PNCK;DSP;ASB2;GPR114;ADAMTS6;EPAS1;PPM1E;RLTPR;S100A5;AKAP12;FCGR4;ANKRD17;HOXA9;CYP11A1
RUNX2,58,1750,0.0914826498422713,0.0840416846755991,0.007440965166672198,0.2728785815702839,-0.5015288162737469,0.6513496864613294,HACL1;DUSP18;GNGT2;CACNG8;CSF1;CCL6;CTTNBP2NL;CCR7;CD72;SLC11A1;PTGDS;CD19;CD59A;BLK;CARD6;CXCR3;ENDOU;PRR5L;TNIK;UBA7;PLTP;TNK1;AF251705;MXRA7;CAPSL;CFH;PDGFRB;FCGR4;MYLK;CYP11A1;BDH1;IGLL1;SERPINF1;TMEM191C;CEACAM10;ADIPOQ;C1QC;LY6I;MS4A1;MS4A7;FXYD4;ITGAE;2010001M09RIK;TCF7;PLEKHG5;P2RY10;COL1A1;1110017F19RIK;VPREB3;IFI204;HTRA3;ITGA2B;CSRP3;RPH3AL;CIITA;CD300LD;EVL;H2-AA
POU2F1,54,1735,0.08517350157728706,0.08332132737837968,0.0018521741989073887,0.45534848661764693,-0.7559584914118054,0.5947066854058467,CYP1B1;2510009E07RIK;HPGDS;IGF1;PGM2L1;ABCB1A;CCR5;PIH1D2;AFP;RASGEF1B;BLK;KCTD4;OMG;CXCR3;CD83;ENDOU;PRR5L;CSGALNACT1;ADAMTS6;IL1RN;KCNK13;DAB2;RRAS;CSN1S2A;AHI1;KLRB1B;1700040L02RIK;ABTB2;CLEC2I;LPL;SUCNR1;9530008L14RIK;ITSN1;INHBA;FPR1;SLC13A5;GM14446;CXCL16;1600029D21RIK;FCNA;KLRA8;KLRA2;REC8;BLNK;PPARG;MLLT3;EYA1;RASSF8;TRP53INP2;PDE5A;VPREB3;ALDH1A7;2300009A05RIK;EVL
