Term	P-value	Genes
HMDB07769	0.4217863792683453	PRKD3
HMDB07760	0.4217863792683453	PRKD3
HMDB07764	0.4217863792683453	PRKD3
HMDB07763	0.4217863792683453	PRKD3
HMDB07762	0.4217863792683453	PRKD3
HMDB07761	0.4217863792683453	PRKD3
HMDB07768	0.4217863792683453	PRKD3
HMDB07767	0.4217863792683453	PRKD3
HMDB07766	0.4217863792683453	PRKD3
HMDB07765	0.4217863792683453	PRKD3
HMDB07758	0.4217863792683453	PRKD3
HMDB07759	0.4217863792683453	PRKD3
HMDB07751	0.4217863792683453	PRKD3
HMDB07750	0.4217863792683453	PRKD3
HMDB07753	0.4217863792683453	PRKD3
HMDB07752	0.4217863792683453	PRKD3
HMDB07755	0.4217863792683453	PRKD3
HMDB07754	0.4217863792683453	PRKD3
HMDB07757	0.4217863792683453	PRKD3
HMDB07756	0.4217863792683453	PRKD3
HMDB07789	0.4217863792683453	PRKD3
HMDB07787	0.4217863792683453	PRKD3
HMDB07788	0.4217863792683453	PRKD3
HMDB07785	0.4217863792683453	PRKD3
HMDB07786	0.4217863792683453	PRKD3
HMDB07783	0.4217863792683453	PRKD3
HMDB07784	0.4217863792683453	PRKD3
HMDB07781	0.4217863792683453	PRKD3
HMDB07782	0.4217863792683453	PRKD3
HMDB07780	0.4217863792683453	PRKD3
HMDB07776	0.4217863792683453	PRKD3
HMDB07777	0.4217863792683453	PRKD3
HMDB07778	0.4217863792683453	PRKD3
HMDB07779	0.4217863792683453	PRKD3
HMDB07772	0.4217863792683453	PRKD3
HMDB07773	0.4217863792683453	PRKD3
HMDB07774	0.4217863792683453	PRKD3
HMDB07775	0.4217863792683453	PRKD3
HMDB07770	0.4217863792683453	PRKD3
HMDB07771	0.4217863792683453	PRKD3
HMDB07794	0.4217863792683453	PRKD3
HMDB07795	0.4217863792683453	PRKD3
HMDB07796	0.4217863792683453	PRKD3
HMDB07797	0.4217863792683453	PRKD3
HMDB07798	0.4217863792683453	PRKD3
HMDB07799	0.4217863792683453	PRKD3
HMDB07790	0.4217863792683453	PRKD3
HMDB07791	0.4217863792683453	PRKD3
HMDB07792	0.4217863792683453	PRKD3
HMDB07793	0.4217863792683453	PRKD3
HMDB07700	0.4217863792683453	PRKD3
HMDB07701	0.4217863792683453	PRKD3
HMDB07702	0.4217863792683453	PRKD3
HMDB07708	0.4217863792683453	PRKD3
HMDB07707	0.4217863792683453	PRKD3
HMDB07709	0.4217863792683453	PRKD3
HMDB07704	0.4217863792683453	PRKD3
