logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols7
-3.350697808	1438981_at	-3.350697808	6.178653392	-4.258914115	0.000458143	0.032647014	-0.009241525	NA
-3.349574247	1419905_s_at	-3.349574247	6.710580894	-3.736490161	0.001478007	0.058947757	-1.124817323	Hpgd
-3.346328716	1435396_at	-3.346328716	3.962883666	-4.032069567	0.000761489	0.043191945	-0.493968947	Stxbp6
-3.306756454	1420994_at	-3.306756454	5.66966045	-4.18110626	0.000545268	0.035796928	-0.17543724	B3gnt5
-3.304401719	1439768_x_at	-3.304401719	4.36412054	-5.482380097	3.14E-05	0.005886114	2.554155485	Sema4f
-3.290227254	1441975_at	-3.290227254	6.566125892	-3.312170394	0.003814258	0.085889465	-2.020997012	Acpp
-3.269861905	1422775_at	-3.269861905	4.929526565	-8.065131168	1.96E-07	0.000126079	7.333008121	Blk
-3.25541227	1427329_a_at	-3.25541227	11.34081719	-4.233810647	0.000484601	0.033496274	-0.062848549	Ighm
-3.225700136	1420176_x_at	-3.225700136	5.431508785	-4.00243899	0.000813818	0.044479505	-0.557296828	Igll1
-3.216207366	1418402_at	-3.216207366	7.067395225	-5.750457288	1.78E-05	0.004045438	3.09529607	Adam19
-3.203723482	1452426_x_at	-3.203723482	8.55032548	-1.765458374	0.094189155	0.307741061	-4.923012056	NA
-3.185728762	1455709_at	-3.185728762	4.257934646	-4.117638205	0.000628566	0.038778226	-0.311071752	Tspan8
-3.175759777	1448293_at	-3.175759777	4.580091483	-5.435664101	3.47E-05	0.006080517	2.45893182	Ebf1
-3.141350778	1437218_at	-3.141350778	4.893411105	-5.433289894	3.48E-05	0.006080517	2.454085304	Fn1
-3.140074721	1451721_a_at	-3.140074721	7.004145915	-3.586057443	0.002070471	0.069276167	-1.444369081	H2-Ab1
-3.139785264	1422122_at	-3.139785264	4.127404198	-8.090027358	1.87E-07	0.000124126	7.374146577	Fcer2a
-3.126002193	1416957_at	-3.126002193	7.755779029	-3.128357447	0.005728282	0.100147089	-2.40247218	Pou2af1
-3.114197442	1442605_at	-3.114197442	3.70356182	-6.212683893	6.83E-06	0.002023147	4.00560312	NA
-3.101283717	1434624_x_at	-3.101283717	11.99196212	-2.375085941	0.028680855	0.182800875	-3.884120742	Rps9
-3.079412584	1454269_s_at	-3.079412584	5.990513613	-3.172060258	0.005202016	0.096331417	-2.312270098	4930519L02Rik
-3.064389159	1436574_at	-3.064389159	6.232343017	-5.55336805	2.70E-05	0.005380403	2.698341203	Znf41-ps
-3.060209088	1415964_at	-3.060209088	6.5982664	-3.633502518	0.001861792	0.065301908	-1.34375206	Scd1
-3.05173223	1431688_at	-3.05173223	3.663394384	-3.239863287	0.004477759	0.090596064	-2.171691261	LOC73899
-3.051486105	1442445_at	-3.051486105	4.228539174	-5.471557402	3.21E-05	0.005973789	2.532118617	2610027H17Rik
-3.041758844	1447096_at	-3.041758844	3.473737704	-2.623084974	0.017096444	0.149563998	-3.414795623	NA
-3.03944168	1459916_at	-3.03944168	5.032904949	-7.574940802	4.79E-07	0.000229714	6.503778197	Gm19980
-3.035227384	1435370_a_at	-3.035227384	4.009898477	-9.846372589	9.80E-09	1.50E-05	10.0479783	Ces1d
-3.032203146	1421598_at	-3.032203146	3.810796635	-4.71060309	0.000167797	0.018253413	0.950922651	NA
-3.031179681	1457996_at	-3.031179681	4.389026945	-2.376449113	0.028600684	0.182651788	-3.881603358	NA
-2.969016177	1424857_a_at	-2.969016177	4.463504652	-2.314082694	0.032490371	0.193192017	-3.996007067	Trim34a
-2.961655974	1456328_at	-2.961655974	7.367426554	-4.805999249	0.000135969	0.01570123	1.152126539	Bank1
-2.922472418	1444432_at	-2.922472418	4.176846868	-6.953956646	1.56E-06	0.000616235	5.400200073	D330040H18Rik
-2.920530429	1440384_at	-2.920530429	5.026644917	-3.646321759	0.001809085	0.064764684	-1.316537746	Tmcc1
-2.904751775	1454051_at	-2.904751775	3.080115584	-7.873307604	2.77E-07	0.000155979	7.012883348	Fam123a
-2.902659529	1433741_at	-2.902659529	6.690125688	-5.370527006	3.98E-05	0.006692496	2.32572261	Cd38
-2.899822545	1443018_at	-2.899822545	4.833204443	-5.070951814	7.61E-05	0.010581806	1.706910229	NA
-2.891431313	1428720_s_at	-2.891431313	10.550036	-3.16702713	0.005260131	0.096770936	-2.322675305	NA
-2.856300762	1446553_at	-2.856300762	6.200479187	-3.388476902	0.003218833	0.081085885	-1.86119091	NA
-2.830879554	1419706_a_at	-2.830879554	6.211313997	-5.945272882	1.18E-05	0.003100476	3.482599945	Akap12
-2.828821252	1452732_at	-2.828821252	4.758997119	-2.310393417	0.032735193	0.193761421	-4.002724471	Asprv1
-2.828125003	1450648_s_at	-2.828125003	8.67911411	-3.594902446	0.002029881	0.06874985	-1.425624575	H2-Ab1
-2.82576242	1443686_at	-2.82576242	4.404655028	-2.531610647	0.020728437	0.161053788	-3.590443016	H2-DMb2
-2.81475964	1426936_at	-2.81475964	5.03382238	-2.057792798	0.054163033	0.240181801	-4.448179128	NA
-2.813855499	1439123_at	-2.813855499	5.071065614	-3.789012587	0.001313741	0.055469231	-1.012934599	NA
-2.81063807	1438858_x_at	-2.81063807	8.38643915	-2.675454792	0.015298014	0.143116193	-3.313018651	H2-Aa
-2.798713418	1423978_at	-2.798713418	4.121397797	-5.91034007	1.27E-05	0.00318575	3.413533613	Sbk1
-2.796265467	1442023_at	-2.796265467	4.88573007	-4.219127195	0.000500785	0.034275601	-0.094210603	A530030E21Rik
