logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols3
-2.940829954	1433530_at	-2.940829954	8.95587864	-12.02049952	1.99E-08	8.34E-07	9.786534645	Rpl41
-2.928422723	1425471_x_at	-2.928422723	3.774338374	-10.76761703	7.39E-08	2.09E-06	8.433001587	NA
-2.925681572	1420911_a_at	-2.925681572	6.788930756	-9.236689815	4.39E-07	8.14E-06	6.584428681	Mfge8
-2.923620695	1418181_at	-2.923620695	5.43435883	-7.324349023	5.71E-06	6.19E-05	3.913275453	Ptp4a3
-2.91652518	1454169_a_at	-2.91652518	3.369603309	-9.316687258	3.98E-07	7.64E-06	6.686923935	Epsti1
-2.912760324	1434062_at	-2.912760324	5.686497704	-12.98328838	7.83E-09	4.14E-07	10.74282929	Rabgap1l
-2.905440027	1435066_at	-2.905440027	7.173815355	-8.783490537	7.77E-07	1.29E-05	5.99050545	Pitpnc1
-2.904918294	1417420_at	-2.904918294	3.25015135	-8.806869986	7.54E-07	1.26E-05	6.021707235	Ccnd1
-2.904311149	1460403_at	-2.904311149	6.623641879	-11.73790627	2.65E-08	1.00E-06	9.492548075	Psip1
-2.891960922	1426112_a_at	-2.891960922	5.91538828	-11.19723991	4.65E-08	1.49E-06	8.91204318	Cd72
-2.88807663	1423831_at	-2.88807663	3.92543932	-13.13308204	6.81E-09	3.80E-07	10.8856471	Prkag2
-2.886712404	1449390_at	-2.886712404	6.910911636	-11.21700553	4.55E-08	1.46E-06	8.933696033	Gpatch4
-2.878147505	1425763_x_at	-2.878147505	4.156401095	-2.303724744	0.038343314	0.077626684	-5.057960491	NA
-2.864883605	1448237_x_at	-2.864883605	7.463205219	-10.8789565	6.54E-08	1.91E-06	8.558710744	Ldhb
-2.857959716	1451655_at	-2.857959716	5.75641117	-7.358307054	5.43E-06	5.97E-05	3.964666615	Slfn8
-2.856118118	1460672_at	-2.856118118	7.067565469	-10.1744123	1.44E-07	3.47E-06	7.744032605	2410002F23Rik
-2.853560646	1416521_at	-2.853560646	4.482251982	-5.562033776	9.11E-05	0.00059691	1.031740207	Sepw1
-2.851608244	1425268_a_at	-2.851608244	4.35538887	-8.519037074	1.10E-06	1.69E-05	5.633191467	Pear1
-2.843918578	1422851_at	-2.843918578	3.147614507	-6.887518171	1.09E-05	0.000104443	3.238519306	Hmga2
-2.842213528	1422804_at	-2.842213528	3.53565508	-8.398961481	1.28E-06	1.92E-05	5.468255738	Serpinb6b
-2.840343815	1419226_at	-2.840343815	2.920038887	-19.66364618	4.50E-11	9.61E-09	15.91218658	Cd96
-2.834925312	1436058_at	-2.834925312	3.284244328	-9.078709626	5.34E-07	9.54E-06	6.379978412	Rsad2
-2.826445953	1455235_x_at	-2.826445953	5.412691503	-12.85926787	8.80E-09	4.39E-07	10.6234079	Ldhb
-2.825646135	1455904_at	-2.825646135	9.886189307	-14.37932267	2.24E-09	1.68E-07	12.01689674	NA
-2.824618754	1423371_at	-2.824618754	5.911004562	-14.85456461	1.50E-09	1.30E-07	12.42329075	Pole4
-2.812632919	1423481_at	-2.812632919	5.652416238	-7.110115452	7.81E-06	8.09E-05	3.585544631	Riok2
-2.810951331	1432057_a_at	-2.810951331	4.986324604	-5.675011301	7.53E-05	0.000513262	1.229211512	Prdm5
-2.807124197	1418942_at	-2.807124197	5.583806798	-9.42911471	3.47E-07	6.94E-06	6.829810996	Ift74
-2.795221872	1452463_x_at	-2.795221872	3.63715736	-3.577150887	0.003363009	0.010768671	-2.668804153	NA
-2.765069486	1436819_at	-2.765069486	5.762758657	-6.590679021	1.72E-05	0.000151322	2.76529529	Sept6
-2.760753313	1425114_at	-2.760753313	3.977981224	-7.529870134	4.24E-06	4.93E-05	4.221999212	Rbbp6
-2.758509348	1448361_at	-2.758509348	8.380336272	-10.95037598	6.05E-08	1.81E-06	8.638766536	Ttc3
-2.75623307	1433946_at	-2.75623307	3.81936983	-10.48646266	1.01E-07	2.65E-06	8.110554214	Zik1
-2.754089014	1448765_at	-2.754089014	4.965791877	-8.303222637	1.46E-06	2.11E-05	5.335521075	Fyn
-2.750496779	1421861_at	-2.750496779	5.246641501	-7.954512929	2.34E-06	3.04E-05	4.842666819	Clstn1
-2.750089402	1437270_a_at	-2.750089402	3.594485899	-8.503325527	1.12E-06	1.72E-05	5.611706846	Clcf1
-2.738603945	1450783_at	-2.738603945	3.163774747	-6.22141311	3.07E-05	0.000243482	2.159724533	Ifit1
-2.736204158	1459885_s_at	-2.736204158	6.314733676	-5.884639919	5.31E-05	0.000384707	1.591043018	Cox7c
-2.719647055	1418469_at	-2.719647055	5.240223401	-11.22517751	4.51E-08	1.46E-06	8.942638527	Nrip1
-2.713095177	1435193_at	-2.713095177	6.284390089	-11.47071133	3.49E-08	1.21E-06	9.208691733	A230050P20Rik
-2.712387546	1449623_at	-2.712387546	6.231771428	-8.324587131	1.42E-06	2.06E-05	5.365236413	Txnrd3
-2.707884289	1426906_at	-2.707884289	11.10135777	-8.732963011	8.29E-07	1.35E-05	5.922859203	NA
-2.705288804	1427917_s_at	-2.705288804	6.192460376	-13.24751463	6.13E-09	3.48E-07	10.99371845	Ssbp3
-2.704293267	1451199_at	-2.704293267	8.188234957	-10.11746605	1.53E-07	3.65E-06	7.676139072	Qtrtd1
-2.696304346	1417039_a_at	-2.696304346	5.4517928	-12.90708281	8.41E-09	4.29E-07	10.66957702	Cul7
-2.694454159	1451611_at	-2.694454159	6.694476874	-9.214311162	4.51E-07	8.33E-06	6.555632719	Pla2g16
-2.692518119	1416823_a_at	-2.692518119	4.622389928	-8.271893064	1.52E-06	2.17E-05	5.291846327	Osbpl1a
-2.691056354	1418280_at	-2.691056354	3.542087024	-2.741320786	0.016780173	0.039205721	-4.264379361	Klf6
-2.68863804	1451428_x_at	-2.68863804	7.458603975	-8.22035526	1.63E-06	2.29E-05	5.219742805	Egfl7
-2.680145382	1431008_at	-2.680145382	9.326233667	-5.513784396	9.88E-05	0.000636364	0.946885746	NA
