logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
-1.813828495	1460672_at	-1.813828495	7.067565469	-6.907571077	1.06E-05	0.000205144	3.259175689	2410002F23Rik
-1.808663986	1419156_at	-1.808663986	3.963439069	-3.338349817	0.005321195	0.023249275	-3.142019637	Sox4
-1.800965135	1434239_at	-1.800965135	6.300879318	-6.069852838	3.92E-05	0.00055418	1.894356107	Rrp12
-1.793170203	1431182_at	-1.793170203	7.018374254	-5.806154389	6.05E-05	0.000768748	1.444755906	Hspa8
-1.792694265	1452831_s_at	-1.792694265	7.133450766	-5.747049014	6.67E-05	0.00082679	1.342678466	Ppat
-1.788918103	1427943_at	-1.788918103	3.743423796	-3.815457881	0.002133712	0.011593988	-2.221372842	Acyp2
-1.78669702	1454708_at	-1.78669702	6.437046271	-4.17102104	0.001091194	0.006884932	-1.538925173	Ablim1
-1.784143848	1448595_a_at	-1.784143848	8.436535135	-6.051083012	4.05E-05	0.00056498	1.862669593	Bex1
-1.780455618	1418058_at	-1.780455618	7.350104165	-4.814988213	0.000335123	0.002789736	-0.327428948	Eltd1
-1.778143019	1450986_at	-1.778143019	9.055769691	-7.669507159	3.48E-06	8.63E-05	4.418252204	Nop58
-1.766389911	1428224_at	-1.766389911	7.433459207	-3.457684903	0.004229647	0.019569908	-2.911926033	Hnrpdl
-1.763596418	1448454_at	-1.763596418	10.43818907	-8.866237527	6.99E-07	2.31E-05	6.091169903	Srsf6
-1.759311071	1416152_a_at	-1.759311071	7.923062031	-7.959037648	2.32E-06	6.24E-05	4.838984256	Srsf3
-1.758169864	1450753_at	-1.758169864	10.81188897	-10.63247875	8.57E-08	4.32E-06	8.270955622	Nkg7
-1.755636993	1460403_at	-1.755636993	6.623641879	-7.585394842	3.92E-06	9.52E-05	4.294028286	Psip1
-1.751089623	1418392_a_at	-1.751089623	8.654226232	-5.984701784	4.51E-05	0.00061591	1.750218404	Gbp3
-1.750343811	1455869_at	-1.750343811	9.516021864	-6.259511021	2.89E-05	0.000446924	2.211805256	NA
-1.749209244	1419406_a_at	-1.749209244	8.093873617	-5.341432245	0.00013273	0.001404657	0.629513564	Bcl11a
-1.746728788	1418181_at	-1.746728788	5.43435883	-4.678099507	0.000428929	0.003390967	-0.581569028	Ptp4a3
-1.745522588	1417658_at	-1.745522588	4.761223437	-4.474957481	0.000621293	0.004509036	-0.96230234	Tbrg4
-1.742203523	1451601_a_at	-1.742203523	6.451193985	-3.783132785	0.002269035	0.012131187	-2.283691669	Spns2
-1.734562168	1435655_at	-1.734562168	7.27537903	-5.2123842	0.000165985	0.00165647	0.398099209	Rpl12
-1.733988488	1431213_a_at	-1.733988488	8.149519416	-4.123287423	0.001193177	0.007384249	-1.63012842	NA
-1.727367894	1433502_s_at	-1.727367894	6.533285726	-5.106207034	0.000199848	0.001891948	0.206120382	Tsr1
-1.723360711	1420093_s_at	-1.723360711	7.710155053	-6.929203864	1.02E-05	0.000199709	3.29314887	Hnrpdl
