Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAP2K6,3,17,0.014925373134328358,0.0037502757555702626,0.011175097378758096,0.050476994400153366,7.756192272512286,-23.161833019737376,RELA;MAP3K7;MAPK14
PTK6,1,12,0.004975124378109453,0.0026472534745201853,0.0023278709035892673,0.43150168001182126,27.700747006944418,-23.28203118600195,CTNNB1
MYLK,2,16,0.009950248756218905,0.003529671299360247,0.006420577456858659,0.1763159472130114,13.508695626821558,-23.444040539072983,MAPK3;CALM1
NEK6,2,15,0.009950248756218905,0.0033090668431502318,0.006641181913068674,0.1609951496704853,12.847958974154984,-23.465268682367615,SMAD4;PIN1
PRKAA2,2,17,0.009950248756218905,0.0037502757555702626,0.006199973000648643,0.1918534511391311,14.220181034884188,-23.477852689060644,TP53;HNF4A
EEF2K,2,16,0.009950248756218905,0.003529671299360247,0.006420577456858659,0.1763159472130114,13.624676808018934,-23.645323297147876,MAPK11;MAPK14
FER,3,16,0.014925373134328358,0.003529671299360247,0.011395701834968111,0.04424716382223981,7.616252687636926,-23.74720172538206,STAT3;CTNNB1;CALM1
FGFR4,2,18,0.009950248756218905,0.003970880211780278,0.0059793685444386275,0.20756194633331773,15.133765003330186,-23.795203828473323,STAT1;STAT3
EPHB1,1,13,0.004975124378109453,0.002867857930730201,0.0021072664473792517,0.45570590841905817,30.313154528895797,-23.823338985206426,STAT3
TRIM28,5,21,0.024875621890547265,0.004632693580410324,0.02024292831013694,0.004163266595531141,4.348866929137993,-23.838119562637086,CEBPB;VIM;ESR1;NR3C1;IKBKG
NLK,5,14,0.024875621890547265,0.003088462386940216,0.02178715950360705,9.376006140846857E-4,3.453869074423833,-24.08101927885255,CREBBP;SMAD4;SKP2;LEF1;STAT3
SGK2,1,10,0.004975124378109453,0.0022060445621001545,0.002769079816009298,0.3798338627589891,25.439168065285056,-24.625657180729895,GSK3B
FLT4,1,12,0.004975124378109453,0.0026472534745201853,0.0023278709035892673,0.43150168001182126,29.764335956294218,-25.01644442264884,ATF7IP
CDC7,2,18,0.009950248756218905,0.003970880211780278,0.0059793685444386275,0.20756194633331773,15.920822080353302,-25.032713699168838,CDKN1A;CDKN2A
PLK4,1,9,0.004975124378109453,0.001985440105890139,0.0029896842722193138,0.3522739702993191,24.24503117251131,-25.295958267446483,SMAD4
UHMK1,2,13,0.009950248756218905,0.002867857930730201,0.007082390825488704,0.13120515128481733,12.539237672035831,-25.467105697766566,SMAD4;SMAD2
RPS6KA4,5,10,0.024875621890547265,0.0022060445621001545,0.02266957732844711,2.782885117084425E-4,3.136635205581691,-25.679168740968596,MAPK1;FOS;MAPK14;RELA;MAPK3
CAMKK1,1,11,0.004975124378109453,0.0024266490183101697,0.002548475359799283,0.40622670493666774,29.02969781817311,-26.151225869630952,CALM1
CSNK1G2,2,15,0.009950248756218905,0.0033090668431502318,0.006641181913068674,0.1609951496704853,14.375305986117265,-26.254786307618552,TP53;CTNNB1
DYRK2,1,13,0.004975124378109453,0.002867857930730201,0.0021072664473792517,0.45570590841905817,33.990327212463974,-26.713256999653893,TP53
STK3,1,10,0.004975124378109453,0.0022060445621001545,0.002769079816009298,0.3798338627589891,27.990809388619034,-27.0957003957969,ABL1
PAK7,1,10,0.004975124378109453,0.0022060445621001545,0.002769079816009298,0.3798338627589891,28.15946763716263,-27.258965177045962,RAC1
DYRK1B,3,15,0.014925373134328358,0.0033090668431502318,0.011616306291178127,0.038428769336075516,8.482464469492438,-27.643918238904345,MAPK1;CDKN1A;MAPK14
TRIB3,3,16,0.014925373134328358,0.003529671299360247,0.011395701834968111,0.04424716382223981,8.868320691745696,-27.651104692747055,RELA;KAT5;ATF4
MELK,3,14,0.014925373134328358,0.003088462386940216,0.011836910747388142,0.033030205881646874,8.26800166895507,-28.19663733523563,SMAD4;SMAD3;SMAD2
MAP4K4,1,10,0.004975124378109453,0.0022060445621001545,0.002769079816009298,0.3798338627589891,29.35850135328146,-28.41965538379735,MAP3K7
CDK14,2,12,0.009950248756218905,0.0026472534745201853,0.0073029952816987195,0.11684671070401706,13.483689822838244,-28.948030774799424,RB1;CDKN1A
ACVR1B,2,14,0.009950248756218905,0.003088462386940216,0.006861786369278689,0.14594045040060136,15.060160710307326,-28.98413190963415,SMAD4;SMAD2
MKNK1,3,13,0.014925373134328358,0.002867857930730201,0.012057515203598157,0.028058057472454215,8.144470198424386,-29.104096757689025,MAPK1;MAPK14;MAPK3
