Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
PRKDC,14,227,0.19718309859154928,0.050077211559673505,0.14710588703187577,1.3145562499653298E-5,-1.5704482258749795,17.650937106489085,XRCC6;JUN;MAPK8;USF1;PARP1;NFKB1;TP53;SRF;BRCA1;E2F1;HMGA1;NCOA6;MDM2;SP1
ATM,12,177,0.16901408450704225,0.039046988749172735,0.12996709575786952,2.4630780777176663E-5,-1.6475819503975506,17.483338349684463,EP300;JUN;SRF;ATF2;BRCA1;E2F1;MEN1;TP53;HMGA1;MDM2;MDM4;SP1
ABL1,11,151,0.15492957746478872,0.03331127288771233,0.1216183045770764,2.995918620660689E-5,-1.510634811946053,15.734280583783088,XRCC6;EP300;JUN;BRCA1;TP53;ESR1;RB1;NCOA3;MDM2;MDM4;CEBPB
TAF1,7,42,0.09859154929577464,0.009265387160820648,0.08932616213495399,7.88420878222987E-6,-1.321245490868019,15.525491592816637,TBP;FOS;RBL1;TP53;RB1;JUN;MDM2
AKT1,14,256,0.19718309859154928,0.05647474078976395,0.14070835780178534,4.7420748640916644E-5,-1.5403907032454875,15.336824080199415,RARA;CREBBP;SMAD4;SMAD3;SKI;SMAD2;GSK3B;CSNK2A1;EP300;BRCA1;ESR1;CDK2;MDM2;MDM4
CDK1,22,567,0.30985915492957744,0.12508272667107875,0.1847764282584987,4.204747351157015E-5,-1.4647196170048122,14.759556652009678,MAPK8;SPIB;TP53;CSNK2A1;JUND;E2F1;E2F4;CDK1;ESR1;RB1;HMGA1;NCOA3;CEBPA;CEBPB;NF1;RARA;RUNX1;BRCA1;LEF1;BPTF;MDM4;SIRT1
CHEK2,7,41,0.09859154929577464,0.009044782704610633,0.089546766591164,6.841183548659404E-6,-1.1986382135210525,14.254864655913796,E2F1;PML;TP53;RB1;BRCA1;MDM2;MDM4
CSNK2A2,14,267,0.19718309859154928,0.05890138980807412,0.13828170878347518,7.360649859228625E-5,-1.3368118276783096,12.72214037586049,SIN3A;JUN;CREBBP;SPIB;TP53;PA2G4;TRRAP;ATF2;HDAC1;FOS;CDK1;ESR1;HMGA1;SP1
MAPK9,10,162,0.14084507042253522,0.0357379219060225,0.10510714851651272,2.6091543886018655E-4,-1.0727728461321173,8.851785810273984,JUN;MAPK8;ATF2;JUND;SMAD3;SMAD2;FOS;TP53;RB1;HMGA1
PRKCA,18,487,0.2535211267605634,0.10743437017427752,0.14608675658628584,4.6522575163406927E-4,-1.0072430907031351,7.728563929277581,MAPK9;HSPA1A;TP53;GSK3B;RBL1;PA2G4;EP300;ATF2;E2F1;ESR1;NF1;RARA;CREBBP;SMAD3;SRF;BRCA1;FOS;MYOG
TRRAP,5,11,0.07042253521126761,0.0024266490183101697,0.06799588619295743,2.896743769014486E-6,-0.5942973917249154,7.578434750781371,E2F1;KAT2A;E2F4;ESR1;BRCA1
RPS6KA3,15,365,0.2112676056338028,0.08052062651665563,0.13074697911714717,5.297598127993227E-4,-0.9951517451609789,7.50651603027301,MAPK1;CREBBP;SMAD3;SMAD2;TP53;GSK3B;TRRAP;SRF;E2F1;FOS;CDK1;ESR1;BPTF;MDM2;CEBPB
RPS6KA1,7,75,0.09859154929577464,0.01654533421575116,0.08204621508002348,2.3296433912370658E-4,-0.8627651461970677,7.216707055162281,FOS;ESR1;MAPK1;SRF;CEBPB;CREBBP;GSK3B
NLK,5,14,0.07042253521126761,0.003088462386940216,0.06733407282432739,7.438555936497671E-6,-0.6023524773539494,7.113080307652912,CREBBP;SMAD4;LEF1;HIPK2;CUL1
CDK4,6,51,0.08450704225352113,0.011250827266710787,0.07325621498681034,2.1194164923779219E-4,-0.8311447412074975,7.03081922963572,RBL1;RB1;CEBPA;SMAD3;SMAD2;BRCA1
RPS6KB1,6,48,0.08450704225352113,0.010589013898080741,0.07391802835544038,1.5643863325534433E-4,-0.7335384374867869,6.427884909012082,FOS;CDK1;ESR1;MAPK1;MDM2;GSK3B
CDK9,6,38,0.08450704225352113,0.008382969335980588,0.07612407291754053,4.82805823097323E-5,-0.644062154993416,6.400999555085469,NFKB1;HSPA1A;CUL1;TP53;SMAD3;RB1
MAPKAPK5,5,20,0.07042253521126761,0.004412089124200309,0.0660104460870673,3.162719458695134E-5,-0.6133354412211381,6.355071015351071,TP53;ATF2;MAPK1;JUN;MAPK9
RPS6KA2,5,21,0.07042253521126761,0.004632693580410324,0.06578984163085728,3.8690787285392E-5,-0.562580536021941,5.7157670741687925,ESR1;SRF;MAPK1;FOS;GSK3B
CHUK,7,90,0.09859154929577464,0.01985440105890139,0.07873714823687325,6.552596356771862E-4,-0.5822362611550809,4.268070691563333,NFKB1;CUL1;ESR1;TP53;NCOA3;HSPA1A;CREBBP
ATR,6,63,0.08450704225352113,0.013898080741230973,0.07060896151229015,6.05302480488534E-4,-0.3930971103952967,2.9127639939345786,E2F1;TP53;MDM2;PML;BRCA1;SP1
RPS6KA5,5,37,0.07042253521126761,0.00816236487977057,0.06226017033149704,4.1313696848850693E-4,-0.32665884757284835,2.545237992258738,SRF;ATF2;CEBPB;CREBBP;EP300
CSNK1D,6,85,0.08450704225352113,0.018751378777851314,0.06575566347566981,0.002578834939137155,-0.2366414492673703,1.4104818486944672,SPIB;RBL1;TP53;NCOA3;MDM2;SRF
PRKCD,7,146,0.09859154929577464,0.032208250606662256,0.06638329868911239,0.008727469868334045,-0.04694027978397643,0.22255699900774786,MAPK1;PA2G4;EP300;MAPK8;CREBBP;TP53;GSK3B
MAP3K7,6,102,0.08450704225352113,0.022501654533421574,0.06200538772009955,0.006029725583850591,0.05241219825857518,-0.2678815639102531,MAPK8;HSPA1A;SMAD3;E2F4;FOS;HIPK2
PRKCB,10,283,0.14084507042253522,0.06243106110743437,0.07841400931510084,0.013509309496459412,0.24436065871381762,-1.0518202130816363,MAPK9;TP53;GSK3B;PA2G4;TRRAP;ATF2;RB1;HMGA1;NCOA6;CEBPB
CDK5,1,103,0.014084507042253521,0.02272225898963159,-0.00863775194737807,0.8050123755063069,6.3145228244513945,-1.369605024987399,TP53
PTK2,1,95,0.014084507042253521,0.020957423339951466,-0.006872916297697944,0.7785854837163363,6.4778411520664845,-1.6212513337718122,TP53
INSR,2,175,0.028169014084507043,0.0386057798367527,-0.010436765752245659,0.7650295432018381,6.12981249685945,-1.6418140505781957,SMAD2;HMGA1
MTOR,1,86,0.014084507042253521,0.018971983234061327,-0.004887476191807806,0.7446198575558888,6.749583457744538,-1.9903269511306254,JUN
LCK,2,161,0.028169014084507043,0.035517317449812486,-0.007348303365305443,0.7234014678128167,6.496551282746095,-2.103524384354445,MAPK1;ESR1
PRKACA,12,395,0.16901408450704225,0.0871387602029561,0.08187532430408614,0.02036567359033303,0.5479922410186161,-2.1338294327434917,TP53;GSK3B;EP300;ESR1;RB1;NCOA3;CEBPB;RARA;CREBBP;NFKB1;SRF;FOS
IKBKB,5,87,0.07042253521126761,0.019192587690271344,0.051229947520996265,0.013183664723519629,0.5450061060977966,-2.359209753433776,NFKB1;FOS;NCOA3;HSPA1A;PARP1
MAP3K14,2,145,0.028169014084507043,0.03198764615045224,-0.0038186320659451996,0.6685599401018507,6.047875663444922,-2.435051478458221,RARA;HSPA1A
MAPKAPK2,4,40,0.056338028169014086,0.008824178248400618,0.04751384992061347,0.0044279157254878965,0.45538290069278087,-2.468096220151713,SRF;ESR1;TP53;MDM2
FYN,3,216,0.04225352112676056,0.04765056254136334,-0.005397041414602774,0.6644463743404768,6.056666502116595,-2.4759719577859434,CSNK2A1;CDK1;CDK2
BMPR1B,1,77,0.014084507042253521,0.01698654312817119,-0.0029020360859176673,0.7055281268763319,7.25985567104744,-2.532300386703945,SMAD2
PRKCE,1,70,0.014084507042253521,0.01544231193470108,-0.0013578048924475592,0.6710961659843525,6.652106206931852,-2.653144897402897,MAPK1
SRC,5,346,0.07042253521126761,0.07632914184866535,-0.0059066066373977405,0.6394369702287409,6.128791391625934,-2.740594632082245,ETS1;SRF;E2F4;CDK1;ESR1
ACVR1,1,70,0.014084507042253521,0.01544231193470108,-0.0013578048924475592,0.6710961659843525,6.990042226516346,-2.787928257457333,CREBBP
MAP3K3,3,193,0.04225352112676056,0.04257666004853298,-3.2313892177241593E-4,0.5885345841214721,5.589026018959789,-2.962852167401191,HSPA1A;BRCA1;UBC
JAK1,1,66,0.014084507042253521,0.01455989410986102,-4.7538706760749845E-4,0.6496692057663762,7.053176668990239,-3.041978388658209,BRCA1
ERBB3,1,61,0.014084507042253521,0.013456871828810942,6.276352134425792E-4,0.6209418767597944,6.702411600125724,-3.193818414495407,PA2G4
PAK1,5,92,0.07042253521126761,0.020295609971321422,0.05012692523994619,0.01628702040452994,0.7913172855700287,-3.2581593324336504,CSNK2A1;ESR1;PA2G4;SMAD4;SMAD2
PRKG1,2,114,0.028169014084507043,0.02514890800794176,0.0030201060765652835,0.5386559972766908,5.559725375669803,-3.4396805309860996,SRF;ATF2
BTK,1,59,0.014084507042253521,0.013015662916390912,0.0010688441258626096,0.6088114140617135,7.0408079262295935,-3.49397786877218,TP53
PRKCZ,5,104,0.07042253521126761,0.022942863445841608,0.047479671765426,0.025635187386735248,0.9609804580613561,-3.5208299812308215,MAPK1;CREBBP;NCOA3;SP1;GSK3B
