Term	P-value	Genes
INSULINPATHWAY	0.6658607080812018	PTPN11,FOS,SLC2A4,MAPK8,INSR,PIK3R1
IL6PATHWAY	0.6658607080812018	CEBPB,IL6ST,STAT3,PTPN11,FOS,JAK1
ERBB4PATHWAY	0.6791086801592113	PSEN1,ADAM17
PELP1PATHWAY	0.6791086801592113	PELP1,CREBBP
UCALPAINPATHWAY	0.6852096668079422	TLN1,ITGA1,ACTN1,ITGB1,PXN
BIOPEPTIDESPATHWAY	0.6932467888945651	PTK2B,CAMK2D,STAT1,STAT3,PLCG1,FYN,GNB1,MAPK14,CALM3,MAPK8,CALM2
EGFR_SMRTEPATHWAY	0.6942700424671682	THRA,MAPK14,MAP3K1
EPONFKBPATHWAY	0.6942700424671682	CDKN1A,HIF1A,NFKBIA
PYK2PATHWAY	0.7025295060565988	PTK2B,MAP3K1,MAP2K3,PLCG1,MAPK14,CALM3,MAPK8,CALM2
SPPAPATHWAY	0.7027348804532872	F2RL3,ITGA1,ITGB1,PLA2G4A,GNB1,SYK
AKAPCENTROSOMEPATHWAY	0.7093423665793022	PRKAG1,PRKCE,PRKAR2A,PRKACB
IL3PATHWAY	0.7093423665793022	PTPN6,STAT5B,FOS,CSF2RB
MYOSINPATHWAY	0.7093423665793022	GNA13,ARHGEF1,PPP1R12B,GNB1
CTLPATHWAY	0.7093423665793022	ICAM1,CD3G,CD3D,CD3E
ACHPATHWAY	0.7093423665793022	BAD,PTK2B,CHRNB1,PIK3R1
RARRXRPATHWAY	0.7093423665793022	GTF2B,NCOA1,NCOA2,GTF2F1
ACTINYPATHWAY	0.7235396210540993	WASF2,ARPC4,PSMA7,ARPC1B,ARPC2
EPOPATHWAY	0.7235396210540993	PTPN6,STAT5B,FOS,PLCG1,MAPK8
ALKPATHWAY	0.7322062710061347	MEF2C,ATF2,CTNNB1,BMP2,TGFBR2,FZD1,DVL1,GSK3B,TGFBR3,BMPR1A
CARM_ERPATHWAY	0.7326266649224371	MEF2C,PELP1,CREBBP,BRCA1,NRIP1,HDAC4,HDAC2,GTF2F1
KREBPATHWAY	0.7367675782500679	CS,IDH2
BBCELLPATHWAY	0.7367675782500679	CD4,CD28
HBXPATHWAY	0.7367675782500679	PTK2B,CREB1
NEUTROPHILPATHWAY	0.7367675782500679	ICAM1,ITGAM
S1PPATHWAY	0.7367675782500679	LDLR,SREBF2
STAT3PATHWAY	0.7367675782500679	JAK1,STAT3
VOBESITYPATHWAY	0.7367675782500679	HSD11B1,NR3C1
TPOPATHWAY	0.7367702275849399	STAT5B,STAT1,STAT3,FOS,PLCG1,PIK3R1
ECMPATHWAY	0.7367702275849399	TLN1,ITGA1,ITGB1,PXN,FYN,PIK3R1
RASPATHWAY	0.7367702275849399	RALBP1,BCL2L1,BAD,RHOA,PIK3R1,CHUK
SALMONELLAPATHWAY	0.7409240535279191	ARPC1B,ARPC2,ARPC4
PARKINPATHWAY	0.7409240535279191	UBE2G1,SNCA,UBE2E2
RABPATHWAY	0.7409240535279191	RAB3A,RAB11A,RAB27A
CFTRPATHWAY	0.7409240535279191	PRKAR2A,PRKAR1B,PRKACB
GHPATHWAY	0.7490913495783118	STAT5B,SLC2A4,INSR,PIK3R1,PTPN6,RPS6KA1,PLCG1
